trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"""Honest""",Nico Collins,191772,,0.476,0.799,4.0,-4.939,0.0,0.212,0.0162,0.0,0.257,0.577,162.139,audio_features,7dTxqsaFGHOXwtzHINjfHv,spotify:track:7dTxqsaFGHOXwtzHINjfHv,https://api.spotify.com/v1/tracks/7dTxqsaFGHOXwtzHINjfHv,https://api.spotify.com/v1/audio-analysis/7dTxqsaFGHOXwtzHINjfHv,191948.0,4.0
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,1806234,british orchestra,0.475,0.13,7.0,-17.719,1.0,0.051,0.916,0.956,0.101,0.122,112.241,audio_features,14Qcrx6Dfjvcj0H8oV8oUW,spotify:track:14Qcrx6Dfjvcj0H8oV8oUW,https://api.spotify.com/v1/tracks/14Qcrx6Dfjvcj0H8oV8oUW,https://api.spotify.com/v1/audio-analysis/14Qcrx6Dfjvcj0H8oV8oUW,150827.0,4.0
#BrooklynBloodPop!,SyKo,145610,glitchcore,0.691,0.814,1.0,-3.788,0.0,0.117,0.0164,0.0,0.366,0.509,132.012,audio_features,7K9Z3yFNNLv5kwTjQYGjnu,spotify:track:7K9Z3yFNNLv5kwTjQYGjnu,https://api.spotify.com/v1/tracks/7K9Z3yFNNLv5kwTjQYGjnu,https://api.spotify.com/v1/audio-analysis/7K9Z3yFNNLv5kwTjQYGjnu,145611.0,4.0
$10,Good Morning,25058,experimental pop,0.624,0.596,4.0,-9.804,1.0,0.0314,0.475,0.203,0.119,0.896,120.969,audio_features,3koAwrM1RO0TGMeQJ3qt9J,spotify:track:3koAwrM1RO0TGMeQJ3qt9J,https://api.spotify.com/v1/tracks/3koAwrM1RO0TGMeQJ3qt9J,https://api.spotify.com/v1/audio-analysis/3koAwrM1RO0TGMeQJ3qt9J,89509.0,4.0
(I Just) Died In Your Arms,Cutting Crew,5504949,album rock,0.625,0.726,11.0,-11.402,0.0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,audio_features,4ByEFOBuLXpCqvO1kw8Wdm,spotify:track:4ByEFOBuLXpCqvO1kw8Wdm,https://api.spotify.com/v1/tracks/4ByEFOBuLXpCqvO1kw8Wdm,https://api.spotify.com/v1/audio-analysis/4ByEFOBuLXpCqvO1kw8Wdm,280400.0,4.0
(L)only Child,salem ilese,2237969,alt z,0.645,0.611,8.0,-5.925,0.0,0.137,0.29,2.05e-05,0.237,0.645,157.475,audio_features,22lJaG2yxlSjIwdUIddcFk,spotify:track:22lJaG2yxlSjIwdUIddcFk,https://api.spotify.com/v1/tracks/22lJaG2yxlSjIwdUIddcFk,https://api.spotify.com/v1/audio-analysis/22lJaG2yxlSjIwdUIddcFk,144468.0,3.0
(lol),Eren Cannata,441335,guitar case,0.663,0.904,7.0,-4.71,1.0,0.0857,0.000708,0.289,0.341,0.675,118.024,audio_features,4DS2UXeR2V5W7R9aype6t1,spotify:track:4DS2UXeR2V5W7R9aype6t1,https://api.spotify.com/v1/tracks/4DS2UXeR2V5W7R9aype6t1,https://api.spotify.com/v1/audio-analysis/4DS2UXeR2V5W7R9aype6t1,217627.0,4.0
-Interlude-,NF,70589,,,,,,,,,,,,,,,,,,,
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,120005,cloud rap,0.792,0.511,2.0,-6.876,1.0,0.0409,0.124,9.04e-05,0.14,0.111,113.983,audio_features,30QR0ndUdiiMQMA9g1PGCm,spotify:track:30QR0ndUdiiMQMA9g1PGCm,https://api.spotify.com/v1/tracks/30QR0ndUdiiMQMA9g1PGCm,https://api.spotify.com/v1/audio-analysis/30QR0ndUdiiMQMA9g1PGCm,168490.0,4.0
...Baby One More Time,Britney Spears,107407,dance pop,0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,audio_features,3MjUtNVVq3C8Fn0MP3zhXa,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,211067.0,4.0
0 to 100,Sidhu Moose Wala,21354,desi hip hop,0.742,0.675,8.0,-6.551,1.0,0.0907,0.139,0.0,0.167,0.679,145.989,audio_features,7cVe3mYMIfhOlz1NXFWv70,spotify:track:7cVe3mYMIfhOlz1NXFWv70,https://api.spotify.com/v1/tracks/7cVe3mYMIfhOlz1NXFWv70,https://api.spotify.com/v1/audio-analysis/7cVe3mYMIfhOlz1NXFWv70,108493.0,4.0
01:22,colours in the dark,516640,lo-fi sleep,0.62,0.122,2.0,-19.47,0.0,0.0428,0.967,0.963,0.0726,0.0502,72.019,audio_features,3mZxGT3FA0vICzX4owzYGq,spotify:track:3mZxGT3FA0vICzX4owzYGq,https://api.spotify.com/v1/tracks/3mZxGT3FA0vICzX4owzYGq,https://api.spotify.com/v1/audio-analysis/3mZxGT3FA0vICzX4owzYGq,129160.0,3.0
"10,000 Hours (with Justin Bieber)",Dan + Shay,339561,contemporary country,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693.0,4.0
11:23,mj apanay,58017,bedroom r&b,0.611,0.256,8.0,-11.29,1.0,0.0733,0.899,0.00497,0.125,0.585,123.535,audio_features,3YhAZVvU1yeGo1l6aLK0V6,spotify:track:3YhAZVvU1yeGo1l6aLK0V6,https://api.spotify.com/v1/tracks/3YhAZVvU1yeGo1l6aLK0V6,https://api.spotify.com/v1/audio-analysis/3YhAZVvU1yeGo1l6aLK0V6,58018.0,4.0
12 Hours,Chris James,2531305,singer-songwriter pop,0.83,0.414,3.0,-7.387,1.0,0.148,0.497,0.0,0.187,0.797,87.99,audio_features,4SCCczAQXPOkM26I2gWhjt,spotify:track:4SCCczAQXPOkM26I2gWhjt,https://api.spotify.com/v1/tracks/4SCCczAQXPOkM26I2gWhjt,https://api.spotify.com/v1/audio-analysis/4SCCczAQXPOkM26I2gWhjt,133125.0,4.0
120,OQTAN,115125,,0.806,0.945,8.0,-1.382,1.0,0.0486,0.0243,0.837,0.267,0.341,119.992,audio_features,1kdEXzn5xAyzTAzimbjhT4,spotify:track:1kdEXzn5xAyzTAzimbjhT4,https://api.spotify.com/v1/tracks/1kdEXzn5xAyzTAzimbjhT4,https://api.spotify.com/v1/audio-analysis/1kdEXzn5xAyzTAzimbjhT4,115125.0,4.0
